,Pclass,Age,SibSp,Parch,Fare,male
0,3,22.0,1,0,7.25,1
1,1,38.0,1,0,71.2833,0
2,3,26.0,0,0,7.925,0
3,1,35.0,1,0,53.1,0
4,3,35.0,0,0,8.05,1
5,3,24.0,0,0,8.4583,1
6,1,54.0,0,0,51.8625,1
7,3,2.0,3,1,21.075,1
8,3,27.0,0,2,11.1333,0
9,2,14.0,1,0,30.0708,0
10,3,4.0,1,1,16.7,0
11,1,58.0,0,0,26.55,0
12,3,20.0,0,0,8.05,1
13,3,39.0,1,5,31.275,1
14,3,14.0,0,0,7.8542,0
15,2,55.0,0,0,16.0,0
16,3,2.0,4,1,29.125,1
17,2,29.0,0,0,13.0,1
18,3,31.0,1,0,18.0,0
19,3,24.0,0,0,7.225,0
20,2,35.0,0,0,26.0,1
21,2,34.0,0,0,13.0,1
22,3,15.0,0,0,8.0292,0
23,1,28.0,0,0,35.5,1
24,3,8.0,3,1,21.075,0
25,3,38.0,1,5,31.3875,0
26,3,24.0,0,0,7.225,1
27,1,19.0,3,2,263.0,1
28,3,24.0,0,0,7.8792,0
29,3,24.0,0,0,7.8958,1
30,1,40.0,0,0,27.7208,1
31,1,37.0,1,0,146.5208,0
32,3,24.0,0,0,7.75,0
33,2,66.0,0,0,10.5,1
34,1,28.0,1,0,82.1708,1
35,1,42.0,1,0,52.0,1
36,3,24.0,0,0,7.2292,1
37,3,21.0,0,0,8.05,1
38,3,18.0,2,0,18.0,0
39,3,14.0,1,0,11.2417,0
40,3,40.0,1,0,9.475,0
41,2,27.0,1,0,21.0,0
42,3,24.0,0,0,7.8958,1
43,2,3.0,1,2,41.5792,0
44,3,19.0,0,0,7.8792,0
45,3,24.0,0,0,8.05,1
46,3,24.0,1,0,15.5,1
47,3,24.0,0,0,7.75,0
48,3,24.0,2,0,21.6792,1
49,3,18.0,1,0,17.8,0
50,3,7.0,4,1,39.6875,1
51,3,21.0,0,0,7.8,1
52,1,49.0,1,0,76.7292,0
53,2,29.0,1,0,26.0,0
54,1,65.0,0,1,61.9792,1
55,1,37.0,0,0,35.5,1
56,2,21.0,0,0,10.5,0
57,3,28.5,0,0,7.2292,1
58,2,5.0,1,2,27.75,0
59,3,11.0,5,2,46.9,1
60,3,22.0,0,0,7.2292,1
61,1,38.0,0,0,80.0,0
62,1,45.0,1,0,83.475,1
63,3,4.0,3,2,27.9,1
64,1,37.0,0,0,27.7208,1
65,3,24.0,1,1,15.2458,1
66,2,29.0,0,0,10.5,0
67,3,19.0,0,0,8.1583,1
68,3,17.0,4,2,7.925,0
69,3,26.0,2,0,8.6625,1
70,2,32.0,0,0,10.5,1
71,3,16.0,5,2,46.9,0
72,2,21.0,0,0,73.5,1
73,3,26.0,1,0,14.4542,1
74,3,32.0,0,0,56.4958,1
75,3,25.0,0,0,7.65,1
76,3,24.0,0,0,7.8958,1
77,3,24.0,0,0,8.05,1
78,2,0.83,0,2,29.0,1
79,3,30.0,0,0,12.475,0
80,3,22.0,0,0,9.0,1
81,3,29.0,0,0,9.5,1
82,3,24.0,0,0,7.7875,0
83,1,28.0,0,0,47.1,1
84,2,17.0,0,0,10.5,0
85,3,33.0,3,0,15.85,0
86,3,16.0,1,3,34.375,1
87,3,24.0,0,0,8.05,1
88,1,23.0,3,2,263.0,0
89,3,24.0,0,0,8.05,1
90,3,29.0,0,0,8.05,1
91,3,20.0,0,0,7.8542,1
92,1,46.0,1,0,61.175,1
93,3,26.0,1,2,20.575,1
94,3,59.0,0,0,7.25,1
95,3,24.0,0,0,8.05,1
96,1,71.0,0,0,34.6542,1
97,1,23.0,0,1,63.3583,1
98,2,34.0,0,1,23.0,0
99,2,34.0,1,0,26.0,1
100,3,28.0,0,0,7.8958,0
101,3,24.0,0,0,7.8958,1
102,1,21.0,0,1,77.2875,1
103,3,33.0,0,0,8.6542,1
104,3,37.0,2,0,7.925,1
105,3,28.0,0,0,7.8958,1
106,3,21.0,0,0,7.65,0
107,3,24.0,0,0,7.775,1
